pathwayIds,pathwayName
hsa04010,MAPK signaling pathway - Homo sapiens (human)
hsa04020,Calcium signaling pathway - Homo sapiens (human)
hsa04060,Cytokine-cytokine receptor interaction - Homo sapiens (human)
hsa04120,Ubiquitin mediated proteolysis - Homo sapiens (human)
hsa04024,cAMP signaling pathway - Homo sapiens (human)
hsa04210,Apoptosis - Homo sapiens (human)
hsa04510,Focal adhesion - Homo sapiens (human)
hsa04310,Wnt signaling pathway - Homo sapiens (human)
hsa04520,Adherens junction - Homo sapiens (human)
hsa04151,PI3K-Akt signaling pathway - Homo sapiens (human)
hsa04370,VEGF signaling pathway - Homo sapiens (human)
hsa04110,Cell cycle - Homo sapiens (human)
hsa04915,Estrogen signaling pathway - Homo sapiens (human)
hsa03320,PPAR signaling pathway - Homo sapiens (human)
hsa04066,HIF-1 signaling pathway - Homo sapiens (human)
hsa04150,mTOR signaling pathway - Homo sapiens (human)
hsa04115,p53 signaling pathway - Homo sapiens (human)
